"filename", "language", "JSON", "JavaScript", "CSS", "Markdown", "TypeScript", "HTML", "comment", "blank", "total"
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\dist\bundle.js", "JavaScript", 0, 8, 0, 0, 0, 0, 44, 0, 52
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\dist\index.html", "HTML", 0, 0, 0, 0, 0, 19, 2, 5, 26
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\dist\js\componentsInit.js", "JavaScript", 0, 6, 0, 0, 0, 0, 5, 4, 15
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\dist\styles\mainStyle.css", "CSS", 0, 0, 22, 0, 0, 0, 0, 11, 33
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\index.d.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 17, 2, 21
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\package-lock.json", "JSON", 7412, 0, 0, 0, 0, 0, 0, 1, 7413
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\package.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\public\js\componentsInit.js", "JavaScript", 0, 6, 0, 0, 0, 0, 5, 4, 15
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\public\styles\mainStyle.css", "CSS", 0, 0, 24, 0, 0, 0, 0, 9, 33
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\readme.md", "Markdown", 0, 0, 0, 18, 0, 0, 0, 14, 32
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\src\Components\AdminDashboard.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 32, 113
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\src\Components\App.js", "JavaScript", 0, 71, 0, 0, 0, 0, 11, 31, 113
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\src\Components\Dashboard.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 22, 60
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\src\Components\Header.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 28, 76
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\src\Components\LoginForm.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 36, 134
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\src\Components\ProductEntryForm.js", "JavaScript", 0, 340, 0, 0, 0, 0, 1, 149, 490
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\src\Components\ProductPageAdmin.js", "JavaScript", 0, 538, 0, 0, 0, 0, 22, 258, 818
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\src\Components\ProductPageUser.js", "JavaScript", 0, 226, 0, 0, 0, 0, 6, 87, 319
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\src\Components\ProductsPage.js", "JavaScript", 0, 41, 0, 0, 0, 0, 1, 23, 65
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\src\Components\UserDashboard.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 22, 70
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\src\Components\UserEntryForm.js", "JavaScript", 0, 157, 0, 0, 0, 0, 3, 70, 230
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\src\Components\UsersPage.js", "JavaScript", 0, 239, 0, 0, 0, 0, 8, 113, 360
"c:\Users\Softexpert\Desktop\fotosxoliki\Client\src\index.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 6, 13
